,book_url,title,genre,author,rating,pages,description,year,published
0,https://www.goodreads.com/book/show/57178191-5-worlds-book-5,5 Worlds Book 5: The Emerald Gate,children's,Mark  Siegel,4.67,272,"Oona and her friends face their ultimate challenge in the final installment of the graphic sci-fi fantasy series that's Star Wars meets Avatar: The Last Airbender! 
In the epic conclusion to the 5 Worlds series, the final battle looms as Oona, Jax, and An Tzu travel to the treacherous world of Grimbo (E)! There, Oona must light the last beacon to save the 5 Worlds, but first she has to find it! When Jax saves an old friend, Oona is given a clue to the green beacon's location.Unfortunately, the journey to lighting it on this strange, watery planet is the most dangerous yet. Meanwhile, Stan Moon has one more trick up his sleeve as his frightening powers and mysterious connection to An Tzu continue to grow. How can Oona ever hope to beat him? Can she count on her friends or will a terrible betrayal mean the 5 Worlds will be lost to evil forever?The 5 Worlds series: #1: The Sand Warrior,  #2: The Cobalt Prince,  #3: The Red Maze,  #4: The Amber Anthem,  #5: The Emerald Gate",2021,Published         November 16th 2021          by Random House Books for Young Readers
1,https://www.goodreads.com/book/show/53420150-change-sings,Change Sings: a Children's Anthem,children's,Amanda Gorman,4.6,32,"A lyrical picture book debut from Youth Poet Laureate Amanda Gorman and illustrator Loren Long“I can hear change hummingIn its loudest, proudest song.I don’t fear change coming,And so I sing along.” In this stirring, much-anticipated picture book by inaugural Youth Poet Laureate and activist Amanda Gorman, anything is possible when our voices join together. As a young girl leads a cast of characters on a musical journey, they learn that they have the power to make changes—big or small—in the world, in their communities, and in most importantly, in themselves.",2021,Published         September 21st 2021          by Viking Books for Young Readers
2,https://www.goodreads.com/book/show/55977822-we-shall-overcome,We Shall Overcome,children's,Bryan Collier,4.59,40,"A celebration of the gospel anthem and Civil Rights protest song ""We Shall Overcome"", masterfully brought to life by Caldecott Honor recipient and a nine-time Coretta Scott King Award winner Bryan Collier.""We Shall Overcome"" is one of the most recognizable anthems of the Civil Rights movement, widely performed at protests and rallies to promote nonviolent civil rights activism. Now, these inspirational, empowering, legendary lyrics are brought to life with the stirring, evocative, and breathtaking illustrations from multi-award winning talent Bryan Collier. Powerfully imagined for the present moment, Collier's illustrations meld the most emblematic moments of the twentieth century Civil Rights movement with the present day, depicting the movements, protests, and demonstrations-big and small-as the fight for justice continues. With illustrations full of depth, tenderness, and expression, and offering historical context while remaining powerfully relevant to the present-day, this impactful picture book is a must-have for every home, classroom, and bookshelf.",2021,Expected publication:         December 28th 2021          by Orchard Books                             (first published December 7th 2021)
3,https://www.goodreads.com/book/show/57375666-dancing-with-daddy,Dancing with Daddy,children's,Anitra Rowe Schulte,4.51,40,"Elsie can’t wait to go to her first father-daughter dance. She picked out the perfect dress and has been practicing swirling and swaying in her wheelchair. Elsie’s heart pirouettes as she prepares for her special night. With gestures, smiles, and words from a book filled with pictures, she shares her excitement with her family. But when a winter storm comes, she wonders if she’ll get the chance to spin and dance her way to a dream come true.",2021,Published         December 1st 2021          by Two Lions
4,https://www.goodreads.com/book/show/53410874-barefoot-dreams-of-petra-luna,Barefoot Dreams of Petra Luna,children's,Alda P. Dobbs,4.49,288,"It is 1913, and twelve-year-old Petra Luna's mama has died while the Revolution rages in Mexico. Before her papa is dragged away by soldiers, Petra vows to him that she will care for the family she has left―her abuelita, little sister Amelia, and baby brother Luisito―until they can be reunited. They flee north through the unforgiving desert as their town burns, searching for safe harbor in a world that offers none.Each night when Petra closes her eyes, she holds her dreams close, especially her long-held desire to learn to read. Abuelita calls these barefoot dreams: ""They're like us barefoot peasants and indios―they're not meant to go far."" But Petra refuses to listen. Through battlefields and deserts, hunger and fear, Petra will stop at nothing to keep her family safe and lead them to a better life across the U.S. border―a life where her barefoot dreams could finally become reality.",2021,Published         September 14th 2021          by Sourcebooks
5,https://www.goodreads.com/book/show/56483329-the-caiman,The Caiman,children's,Maria Eugenia Manrique,4.43,40,"The unforgettable story of a man and his alligator.When Faoro the clockmaker adopts a baby alligator, he has no idea that someday their story will travel far and wide. But the town of San Fernando de Apure would never forget this kind young man and his adoring alligator, who played with the neighborhood children, took part in Faoro’s wedding, and, eventually, mourned his loss. Now their story is being shared with the world.In this delightful picture book first published in Venezuela, the author brings us back to her own childhood in Venezuela, as one of the children who used to visit this famous caiman, to tell the story of a man who loved animals and how his friendship with his alligator sparked a lasting legacy.",2021,Published         July 1st 2021          by Amazon Crossing Kids
6,https://www.goodreads.com/book/show/55177334-hazel-bly-and-the-deep-blue-sea,Hazel Bly and the Deep Blue Sea,children's,Ashley Herring Blake,4.41,352,"For fans of Erin Entrada Kelly and Ali Benjamin comes a poignant yet hopeful novel about a girl navigating grief, trauma, and friendship, from Ashley Herring Blake, the award-winning author of Ivy Aberdeen's Letter to the World.Hazel Bly used to live in the perfect house with the perfect family in sunny California. But when a kayaking trip goes horribly wrong, Mum is suddenly gone forever and Hazel is left with crippling anxiety and a jagged scar on her face. After Mum's death, Hazel, her other mother, Mama, and her little sister, Peach, needed a fresh start. So for the last two years, the Bly girls have lived all over the country, never settling anywhere for more than a few months.When the family arrives in Rose Harbor, Maine, there's a wildness to the small town that feels like magic. But when Mama runs into an old childhood friend—Claire—suddenly Hazel's tight-knit world is infiltrated. To make it worse, she has a daughter Hazel's age, Lemon, who can't stop rambling on and on about the Rose Maid, a local 150-year-old mermaid myth.Soon, Hazel finds herself just as obsessed with the Rose Maid as Lemon is—because what if magic were real? What if grief really could change you so much, you weren't even yourself anymore? And what if instead you emerged from the darkness stronger than before?",2021,"Published         May 25th 2021          by Little, Brown Books for Young Readers"
7,https://www.goodreads.com/book/show/55586953-black-boy-joy,Black Boy Joy,children's,Kwame Mbalia,4.41,304,"Celebrate the joys of Black boyhood with stories from seventeen bestselling, critically acclaimed Black authors--including Jason Reynolds (the Track series), Jerry Craft (New Kid), and edited by Kwame Mbalia (the Tristan Strong series)!Black boy joy is… Picking out a fresh first-day-of-school outfit.Saving the universe in an epic intergalactic race.Finding your voice—and your rhymes—during tough times.Flying on your skateboard like nobody’s watching. And more! From seventeen acclaimed Black male and non-binary authors comes a vibrant collection of stories, comics, and poems about the power of joy and the wonders of Black boyhood.Contributors include: B. B. Alston, Dean Atta, P. Djèlí Clark, Jay Coles, Jerry Craft, Lamar Giles, Don P. Hooper, George M. Johnson, Varian Johnson, Kwame Mbalia, Suyi Davies Okungbowa, Tochi Onyebuchi, Julian Randall, Jason Reynolds, Justin Reynolds, DaVaun Sanders, and Julian Winters",2021,Published         August 3rd 2021          by Delacorte
8,https://www.goodreads.com/book/show/53915448-stevie-wonder,Stevie Wonder,children's,Mª Isabel Sánchez Vegara,4.37,32,"In this book from the critically acclaimed, multimillion-copy best-selling Little People, BIG DREAMS series, discover the life of Stevie Wonder, the genius behind some of the world’s best-loved songs. At just 8 years old, it was clear that Steveland Judkins was going to be a star. Renamed Stevie Wonder for his astonishing talent on the piano and other instruments, he wrote and performed some of the biggest hits of the 1970s. Stevie became known for his inventiveness, his soulful voice, and the social commentary in his lyrics. He is a UN Messenger of Peace and remains one of the music world’s most iconic figures. This inspiring book features stylish and quirky illustrations and extra facts at the back, including a biographical timeline with historical photos and a detailed profile of the great musician’s life. ​Little People, BIG DREAMS is a best-selling series of books and educational games that explore the lives of outstanding people, from designers and artists to scientists and activists. All of them achieved incredible things, yet each began life as a child with a dream. This empowering series offers inspiring messages to children of all ages, in a range of formats. The board books are told in simple sentences, perfect for reading aloud to babies and toddlers. The hardcover versions present expanded stories for beginning readers. Boxed gift sets allow you to collect a selection of the books by theme. Paper dolls, learning cards, matching games, and other fun learning tools provide even more ways to make the lives of these role models accessible to children.Inspire the next generation of outstanding people who will change the world with Little People, BIG DREAMS!",2021,Published         February 23rd 2021          by Frances Lincoln Children's Books                             (first published February 2nd 2021)
9,https://www.goodreads.com/book/show/55277625-the-last-fallen-star,The Last Fallen Star (Gifted Clans #1),children's,Graci Kim,4.36,336,"Best-selling author Rick Riordan presents Graci Kim's thrilling debut about an adopted Korean-American girl who discovers her heritage and her magic on a perilous journey to save her witch clan family.Riley Oh can't wait to see her sister get initiated into the Gom clan, a powerful lineage of Korean healing witches their family has belonged to for generations. Her sister, Hattie, will earn her Gi bracelet and finally be able to cast spells without adult supervision. Although Riley is desperate to follow in her sister's footsteps when she herself turns thirteen, she's a saram--a person without magic. Riley was adopted, and despite having memorized every healing spell she's ever heard, she often feels like the odd one out in her family and the gifted community.Then Hattie gets an idea: what if the two of them could cast a spell that would allow Riley to share Hattie's magic? Their sleuthing reveals a promising incantation in the family's old spell book, and the sisters decide to perform it at Hattie's initiation ceremony. If it works, no one will ever treat Riley as an outsider again. It's a perfect plan!Until it isn't. When the sisters attempt to violate the laws of the Godrealm, Hattie's life ends up hanging in the balance, and to save her Riley has to fulfill an impossible task: find the last fallen star. But what even is the star, and how can she find it?As Riley embarks on her search, she finds herself meeting fantastic creatures and collaborating with her worst enemies. And when she uncovers secrets that challenge everything she has been taught to believe, Riley must decide what it means to be a witch, what it means to be family, and what it really means to belong.",2021,Published         May 4th 2021          by Rick Riordan Presents
